DocTitle,IndexerTime
645247079.xml,8
1168045809.xml,14
1232763299.xml,9
1732035849.xml,10
265006889.xml,8
36735489.xml,9
666319999.xml,7
1661127989.xml,16
1200331639.xml,8
1873943489.xml,18
1980022949.xml,6
1377994599.xml,14
433300159.xml,8
1056884049.xml,14
1327633919.xml,10
1931682449.xml,21
593604129.xml,8
54500429.xml,15
1239129939.xml,8
1228982529.xml,15
1482355429.xml,9
79393899.xml,14
392218709.xml,7
1411153479.xml,15
932723839.xml,27
2115707399.xml,18
1584203809.xml,11
1175462169.xml,13
368156369.xml,17
1980049859.xml,17
1531517229.xml,9
1984147429.xml,20
549709509.xml,6
471085089.xml,8
1061499969.xml,14
1123150299.xml,12
1829072289.xml,9
1733128489.xml,8
1502210109.xml,9
6928579.xml,8
102783839.xml,8
1099292559.xml,9
1368153509.xml,8
592074379.xml,8
1740660809.xml,9
1080504159.xml,8
1598114279.xml,9
1392290259.xml,9
1850152179.xml,9
952992809.xml,9
1881001019.xml,8
1437300349.xml,8
1191487609.xml,11
304596919.xml,14
1628184349.xml,18
1812876089.xml,8
1079398469.xml,9
1198719009.xml,10
1328664829.xml,9
216247989.xml,9
100490909.xml,16
2137892369.xml,14
2008884259.xml,12
278924949.xml,9
473768669.xml,15
1009976649.xml,21
1092769849.xml,15
427495899.xml,21
1731148289.xml,21
1109514749.xml,14
1001243399.xml,8
2074371559.xml,27
289233549.xml,14
1650859649.xml,14
2112778139.xml,15
1277592269.xml,15
1427414719.xml,9
99118189.xml,20
1732493699.xml,19
1732151049.xml,15
491005109.xml,8
928242949.xml,9
1684996309.xml,14
1566406379.xml,15
1089330989.xml,15
1897705259.xml,7
1376374579.xml,13
2034438419.xml,10
1719011609.xml,16
1425451399.xml,9
645247119.xml,6
1155318629.xml,19
2094857779.xml,13
1731515609.xml,13
773447669.xml,11
1280609989.xml,12
2052927369.xml,13
668929139.xml,11
1427413909.xml,11
1441828659.xml,10
982510689.xml,9
1462267319.xml,5
37976889.xml,5
884933329.xml,11
1980060629.xml,10
1361192489.xml,9
1490136709.xml,9
2043447019.xml,9
1447808149.xml,8
1239332019.xml,7
1826588219.xml,10
686239449.xml,10
1594313309.xml,8
338520769.xml,9
1121313749.xml,10
872022979.xml,9
544237229.xml,8
1177281229.xml,8
1293546649.xml,11
750771069.xml,14
1425440269.xml,16
140234069.xml,16
1440125819.xml,20
839319319.xml,9
1279987019.xml,13
1948575339.xml,14
2063211489.xml,10
1448508609.xml,8
1700892009.xml,9
1760793659.xml,11
646295069.xml,9
1161038079.xml,11
367011909.xml,10
1291791539.xml,8
2072009259.xml,11
213592299.xml,11
997467489.xml,507
679761769.xml,14
1436260769.xml,7
1168142209.xml,7
2032886169.xml,8
2126352779.xml,6
1270651029.xml,9
815278929.xml,9
951028049.xml,14
1424836649.xml,14
1792042669.xml,17
2109193829.xml,23
2100979149.xml,17
304220789.xml,16
1430361869.xml,11
1970380499.xml,14
1204708779.xml,9
1426734389.xml,8
2120452069.xml,7
821884259.xml,8
359169069.xml,12
743094769.xml,9
468214649.xml,7
1615120989.xml,7
1618084769.xml,7
2046188889.xml,7
1476225499.xml,10
1256153979.xml,9
273986849.xml,9
651632559.xml,9
2089142229.xml,9
1960608099.xml,8
710305199.xml,9
101623059.xml,10
565256749.xml,10
1685872039.xml,13
986156269.xml,19
1647021179.xml,25
86960919.xml,28
1979993099.xml,20
342911049.xml,14
1791529169.xml,14
805298319.xml,15
1980014209.xml,8
289177979.xml,19
676035889.xml,14
549427869.xml,13
1170544799.xml,16
1223653419.xml,20
354292089.xml,11
496883399.xml,11
400972899.xml,9
489606229.xml,9
99470639.xml,10
1927039589.xml,14
975152099.xml,9
297909089.xml,18
612911049.xml,17
1277298469.xml,10
160308719.xml,13
1708255149.xml,14
1039073779.xml,9
948545509.xml,14
1790013129.xml,7
234876989.xml,9
515863609.xml,7
653880389.xml,12
1226293599.xml,12
812478109.xml,7
71151159.xml,4
754831399.xml,14
1184507849.xml,8
635305979.xml,14
2097491169.xml,7
75207889.xml,13
332472129.xml,7
1266322689.xml,8
1655325389.xml,9
151134829.xml,7
186202559.xml,14
12713279.xml,14
1248582209.xml,7
1986411989.xml,7
147162379.xml,8
332322579.xml,7
832635159.xml,8
1222515079.xml,9
1502671449.xml,7
445341589.xml,6
1693577039.xml,7
613631319.xml,14
550883639.xml,8
1766329849.xml,6
846553509.xml,8
1770984779.xml,6
520332109.xml,6
746659189.xml,7
1765591239.xml,7
444101599.xml,8
1904242249.xml,9
604867189.xml,8
1937205689.xml,15
440902319.xml,15
1980049669.xml,8
1629301199.xml,8
363558229.xml,8
1364495309.xml,5
1859221209.xml,7
1102229469.xml,8
1040286769.xml,7
513381689.xml,8
1509635409.xml,5
1426212609.xml,7
79361359.xml,5
1606220149.xml,6
81132139.xml,8
1043987939.xml,8
1724936559.xml,8
147903489.xml,14
1286828369.xml,8
703141869.xml,6
1791955199.xml,12
186001229.xml,166
416062939.xml,9
481517959.xml,10
30463539.xml,9
539673799.xml,7
2037660789.xml,6
355136849.xml,7
565726919.xml,7
1068974419.xml,8
992211979.xml,5
1668766089.xml,13
1433760209.xml,13
1340110529.xml,12
1837224749.xml,8
1888706019.xml,8
635800369.xml,8
1896591219.xml,6
1413126059.xml,6
81289139.xml,8
1768776009.xml,6
100925279.xml,6
908145379.xml,6
316235989.xml,12
1333525859.xml,6
2070729569.xml,12
1883012179.xml,6
1638545389.xml,5
28302049.xml,5
153341929.xml,15
116303349.xml,5
1119211029.xml,11
1346628759.xml,6
456580459.xml,16
1931952879.xml,11
1502676939.xml,11
108339139.xml,7
857606839.xml,7
802639619.xml,6
