DocTitle,IndexerTime
1677297447.xml,5
2128085737.xml,4
1375164257.xml,13
17176677.xml,11
1136924677.xml,22
412860487.xml,6
1777385777.xml,144
1552996787.xml,5
2094056637.xml,7
851644167.xml,4
1873687007.xml,13
266557387.xml,10
2125886537.xml,28
1584566947.xml,6
263533237.xml,4
1175692037.xml,15
905531977.xml,4
1937760027.xml,5
1624476607.xml,18
1427474367.xml,3
1473099307.xml,6
1320908467.xml,11
946688287.xml,13
991912937.xml,6
1889734427.xml,15
1366371917.xml,5
390000357.xml,5
1505482327.xml,5
1980043967.xml,7
278039387.xml,4
1069723117.xml,5
2063167987.xml,9
405871197.xml,10
499200377.xml,6
1748943397.xml,8
739908677.xml,7
350894257.xml,8
218193417.xml,21
1664588007.xml,7
1850151067.xml,11
1943341947.xml,6
1373755007.xml,6
2140613337.xml,15
2130037297.xml,21
935324657.xml,6
1569734447.xml,11
2141033817.xml,5
1360354767.xml,5
1912028907.xml,6
1787822237.xml,5
1461893877.xml,5
1546825777.xml,5
183647207.xml,7
1530561457.xml,11
895889127.xml,10
1143707587.xml,25
936053057.xml,31
154887517.xml,18
75011107.xml,5
796565627.xml,4
49177617.xml,22
2119951617.xml,7
1762905267.xml,11
1395185707.xml,6
1096009587.xml,11
156851847.xml,11
1818459047.xml,5
714147387.xml,6
1323729727.xml,7
1606053327.xml,6
1378660497.xml,15
1188021767.xml,5
438909157.xml,5
2106474557.xml,6
570946887.xml,6
1328000707.xml,6
220974237.xml,7
1343954137.xml,6
1110631417.xml,5
812527967.xml,5
525926957.xml,4
160805577.xml,5
1953315637.xml,5
696454077.xml,6
815310137.xml,3
2024096217.xml,6
1526352937.xml,9
1526382727.xml,7
1732556917.xml,7
1762905257.xml,5
1268966157.xml,10
1354405247.xml,11
1780928837.xml,7
1850151097.xml,7
978975537.xml,7
1182843047.xml,3
954948307.xml,6
784615777.xml,5
2141010757.xml,3
1300762807.xml,10
1317950687.xml,10
651927787.xml,22
1197532527.xml,18
827256847.xml,13
1554285247.xml,22
236595427.xml,9
1611408067.xml,13
1477969377.xml,13
175442557.xml,24
1756046407.xml,27
364823877.xml,16
208742077.xml,32
285717267.xml,15
1478943047.xml,15
1554680257.xml,10
337436977.xml,12
2110032357.xml,8
573425617.xml,15
1283438537.xml,9
2134689637.xml,9
1744140517.xml,17
1187634427.xml,13
532734637.xml,22
732743677.xml,10
1017712547.xml,15
1980046977.xml,10
514632357.xml,10
1211266567.xml,11
800189137.xml,9
1486971317.xml,8
532366967.xml,23
500472127.xml,10
591686567.xml,10
409831247.xml,14
1134799767.xml,9
1427473367.xml,10
407846007.xml,9
1784145987.xml,12
1937780657.xml,9
1327334327.xml,10
1187723827.xml,10
